State,Date,Value
Florida,11/1/2013,708623499
Florida,12/1/2013,675225431
Florida,1/1/2014,701697167
Florida,2/1/2014,697655170
Florida,3/1/2014,659815810
Florida,4/1/2014,751790547
Florida,5/1/2014,718442209
Florida,6/1/2014,734110947
Florida,7/1/2014,684549177
Florida,8/1/2014,698822731
Florida,9/1/2014,717642523
Florida,10/1/2014,673494920
Florida,11/1/2014,705127696
Florida,12/1/2014,691958908
Florida,1/1/2015,712351560
Florida,2/1/2015,723322281
Florida,3/1/2015,684603143
Florida,4/1/2015,773709776
Florida,5/1/2015,768808800
Florida,6/1/2015,756113590
Florida,7/1/2015,723686014
Florida,8/1/2015,741048423
Florida,9/1/2015,754552820
Florida,10/1/2015,693606324
Florida,11/1/2015,744715885
Florida,12/1/2015,725086882
Florida,1/1/2016,755631737
Florida,2/1/2016,745012893
Florida,3/1/2016,742643589
Florida,4/1/2016,805018374
Florida,5/1/2016,706060936
Florida,6/1/2016,815765226
Florida,7/1/2016,757488790
Florida,8/1/2016,771050863
Florida,9/1/2016,748081609
Florida,10/1/2016,708030645
Florida,11/1/2016,768380153
Florida,12/1/2016,741276915
Florida,1/1/2017,776495485
Florida,2/1/2017,764744082
Florida,3/1/2017,722318364
Florida,4/1/2017,841632753
Florida,5/1/2017,782276575
Florida,6/1/2017,801160071
Florida,7/1/2017,756091071
Florida,8/1/2017,757603620
Florida,9/1/2017,795450794
Florida,10/1/2017,731350993
Florida,11/1/2017,771661012
Florida,12/1/2017,751236100
Florida,1/1/2018,783317196
Florida,2/1/2018,758295735
Florida,3/1/2018,738973666
Florida,4/1/2018,842938903
Florida,5/1/2018,795952871
Florida,6/1/2018,791307861
Florida,7/1/2018,776367644
Georgia,1/1/2012,371274040
Georgia,2/1/2012,373130700
Georgia,3/1/2012,413441687
Georgia,4/1/2012,392834425
Georgia,5/1/2012,410697761
Georgia,6/1/2012,394392409
Georgia,7/1/2012,398865681
Georgia,8/1/2012,405229469
Georgia,9/1/2012,369532255
Georgia,10/1/2012,403195664
Georgia,11/1/2012,379362514
Georgia,12/1/2012,379520965
Georgia,1/1/2013,362128010
Georgia,2/1/2013,349210325
Georgia,3/1/2013,573957360
Georgia,4/1/2013,392648224
Georgia,5/1/2013,404338274
Georgia,6/1/2013,388541399
Georgia,7/1/2013,392625143
Georgia,8/1/2013,406664656
Georgia,9/1/2013,382328178
Georgia,10/1/2013,404200456
Georgia,11/1/2013,381908236
Georgia,12/1/2013,388534451
Georgia,1/1/2014,364913486
Georgia,2/1/2014,340113206
Georgia,3/1/2014,424255356
Georgia,4/1/2014,392648224
Georgia,5/1/2014,416672930
Georgia,6/1/2014,391770408
Georgia,7/1/2014,401817102
Georgia,8/1/2014,409678793
Georgia,9/1/2014,376905249
Georgia,10/1/2014,397329127
Georgia,11/1/2014,377452069
Georgia,12/1/2014,393878108
Georgia,1/1/2015,394610747
Georgia,2/1/2015,366119009
Georgia,3/1/2015,420860629
Georgia,4/1/2015,411710219
Georgia,5/1/2015,431796470
Georgia,6/1/2015,417675073
Georgia,7/1/2015,432939025
Georgia,8/1/2015,430918034
Georgia,9/1/2015,402352373
Georgia,10/1/2015,428651741
Georgia,11/1/2015,402138465
Georgia,12/1/2015,418355985
Georgia,1/1/2016,399809863
Georgia,2/1/2016,398690853
Georgia,3/1/2016,441486123
Georgia,4/1/2016,427204455
Georgia,5/1/2016,443448358
Georgia,6/1/2016,428262542
Georgia,7/1/2016,208857789
Georgia,8/1/2016,445882710
Georgia,9/1/2016,403471565
Georgia,10/1/2016,428098729
Georgia,11/1/2016,406981653
Georgia,12/1/2016,416508168
Georgia,1/1/2017,389639767
Georgia,2/1/2017,381071786
Georgia,3/1/2017,449452513
Georgia,4/1/2017,429916138
Georgia,5/1/2017,444399500
Georgia,6/1/2017,426028051
Georgia,7/1/2017,414243215
Georgia,8/1/2017,457025506
Georgia,9/1/2017,422397167
Georgia,10/1/2017,438529633
Georgia,11/1/2017,401772159
Georgia,12/1/2017,421741351
Georgia,1/1/2018,394834919
Georgia,2/1/2018,379921925
Georgia,3/1/2018,446401108
Georgia,4/1/2018,392281238
Georgia,5/1/2018,448144028
Georgia,6/1/2018,431818242
Georgia,7/1/2018,437216806
Hawaii,1/1/2012,36634752
Hawaii,2/1/2012,36508224
Hawaii,3/1/2012,38548266
Hawaii,4/1/2012,37155888
Hawaii,5/1/2012,38730315
Hawaii,6/1/2012,37040126
Hawaii,7/1/2012,38640526
Hawaii,8/1/2012,39724516
Hawaii,9/1/2012,33583244
Hawaii,10/1/2012,38770732
Hawaii,11/1/2012,36761155
Hawaii,12/1/2012,38187956
Hawaii,1/1/2013,38093073
Hawaii,2/1/2013,34825819
Hawaii,3/1/2013,38510637
Hawaii,4/1/2013,38338130
Hawaii,5/1/2013,36733472
